brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os
lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
Lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
MICROSOFT,Surface,Intel,Core i5,10th,8 GB GB,LPDDR4X,128 GB,0 GB,Windows
Smartron,t.book,Intel,Core i5,7th,8 GB GB,DDR3,128 GB,0 GB,Windows
MICROSOFT,Surface,Intel,Core i5,8th,8 GB GB,DDR3,128 GB,0 GB,Windows
Smartron,t.book,Intel,Core i5,7th,4 GB GB,DDR3,128 GB,0 GB,Windows
HP,Pavilion,Intel,Core i5,8th,8 GB GB,DDR4,128 GB,0 GB,Windows
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
lenovo,Yoga,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS
acer,Swift,Intel,Core i5,7th,8 GB GB,DDR3,256 GB,0 GB,Windows
LG,Gram,Intel,Core i5,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
LG,Gram,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
LG,Gram,Intel,Core i5,10th,8 GB GB,DDR4,256 GB,0 GB,Windows
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
acer,Swift,Intel,Core i5,8th,8 GB GB,DDR3,256 GB,0 GB,Windows
LG,Gram,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
HP,Spectre,Intel,Core i5,8th,8 GB GB,DDR4,256 GB,0 GB,Windows
acer,Swift,Intel,Core i5,8th,8 GB GB,DDR4,256 GB,0 GB,Windows
ASUS,VivoBook14,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows
